,ID_Pelicula,Tipo,Título,Link,Sinopsis,Calificación,Lanzamiento,Duración [MIN]
41,26226,Movie,The Dresser,https://www.starz.com/ar/es/movies/The-Dresser-26226,"En esta historia perversamente divertida y conmovedora, Sir reflexiona sobre sus logros y busca reconciliar sus turbulentas amistades con sus empleados antes del telón final.",SAM13,2015,109
42,52012,Movie,Repugnante,https://www.starz.com/ar/es/movies/Repugnante-52012,"Un oficial de policía drogadicto planea arruinar las posibilidades de ascenso de sus colegas por cualquier medio, incluyendo contar secretos y seducir a sus esposas. Basado en la novela de Irvine Welsh.",SAM13,2014,97
43,29581,Movie,Pandillas de Nueva York,https://www.starz.com/ar/es/movies/Pandillas-de-Nueva-York-29581,"Tras años de encarcelamiento, el joven inmigrante irlandés Amsterdam Vallon (Leonardo DiCaprio) regresa, buscando venganza contra el líder de la pandilla rival que asesinó a su padre, William Cutting alias ""Bill el Carnicero"".",SAM16,2002,166
44,51692,Movie,12 Horas,https://www.starz.com/ar/es/movies/12-Horas-51692,"Hace un año, Jill Parrish sobrevivió al secuestro de un asesino en serie. Cuando llega a casa luego de un turno nocturno descubre que su hermana Molly ha sido secuestrada, y está convencida de que el mismo asesino en serie ha vuelto por su hermana.",SAM13,2012,94
45,50698,Movie,Son como niños 2,https://www.starz.com/ar/es/movies/Son-como-niños-2-50698,"La secuela de Son como niños. Después de mudarse con su familia de regreso a su ciudad natal para estar con sus amigos y sus hijos, Lenny, descubre que entre los antiguos y los nuevos bravucones,conductores de autobús esquizofrénicos, policías borrachos sobre esquís y 400 colados a una fiesta de disfraces, a veces ocurren situaciones locas.",SAM13,2013,100
46,29999,Movie,Halloween III: El imperio de las brujas,https://www.starz.com/ar/es/movies/Halloween-III:-El-imperio-de-las-brujas-29999,Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.,SAM16,1982,97
47,51729,Movie,Obsesión Del Pasado,https://www.starz.com/ar/es/movies/Obsesión-Del-Pasado-51729,Una ex novia amargada trama su venganza después de que su ex regresa a su ciudad natal con un nueva amante.,SAM16,2009,95
48,50756,Movie,Los juegos del hambre: Sinsajo - El final,https://www.starz.com/ar/es/movies/Los-juegos-del-hambre:-Sinsajo---El-final-50756,"Jennifer Lawrence interpreta a Katniss Everdeen, que comenzó su viaje luchando por sobrevivir a los despiadados Juegos del Hambre, y dirigió la rebelión contra el tiránico presidente de Panem (Donald Sutherland).",SAM13,2015,136
49,50122,Movie,Educación básica,https://www.starz.com/ar/es/movies/Educación-básica-50122,"Bienvenidos a la escuela primaria Geraldine Ferraro, donde los maestros están borrachos, son perezosos o psicóticos, todos los niños están abandonados y el vicedirector agotado Tom Willoman apenas resiste. Pero cuando la inspectora del distrito Rebecca Seabrook, cierra la escuela, ella y Tom diseñan un plan para recuperar las aulas del increíblemente corrupto director Billings.",SAM16,2008,94
50,39896,Movie,Traficantes por error,https://www.starz.com/ar/es/movies/Traficantes-por-error-39896,"Donald Faison protagoniza como un repartidor desafortunado que se encuentra en el centro de un negocio de drogas que salió horriblemente mal en Traficantes por Error, una comedia de acción estruendosa con un elenco de estrellas.",SAM16,2009,84
51,51823,Movie,Sin escalas,https://www.starz.com/ar/es/movies/Sin-escalas-51823,Un Comisario aéreo usa su astucia con un terrorista americano amargado que amenaza con matar a un pasajero cada 20 minutos a menos que el Comisario se suicide.,SAM13,2014,106
52,51825,Movie,Los ilusionistas: Nada es lo que parece,https://www.starz.com/ar/es/movies/Los-ilusionistas:-Nada-es-lo-que-parece-51825,"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de escenario que pronto atraerán la atención del FBI.",SAM13,2013,115
53,41569,Movie,Pánico en altamar,https://www.starz.com/ar/es/movies/Pánico-en-altamar-41569,"Un grupo de viejos amigos se encuentran para una reunión a bordo de un yate de lujo, pero el evento se convierte en una pesadilla cuando se lanzan al mar a nadar sin primero bajar la escalera.",SAM16,2006,94
54,42964,Movie,Rapture-Palooza,https://www.starz.com/ar/es/movies/Rapture-Palooza-42964,"Después de que el apocalipsis sucede, Lindsey y su novio Ben están entre los que quedaron en la tierra. Las cosas toman un giro aún peor cuando el Anticristo se acerca, y vuelve su atención hacia Lindsey. Decidido a escapar de sus garras y la posibilidad de convertirse en su esposa, la pareja se embarcará en una misión para encontrar una manera de derrotarlo de una vez por todas.",SAM16,2013,84
55,50355,Movie,RED: Retirados Extremadamente Duros,https://www.starz.com/ar/es/movies/RED:-Retirados-Extremadamente-Duros-50355,"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del misterioso enemigo.",SAM13,2010,111
56,51833,Movie,Recuérdame,https://www.starz.com/ar/es/movies/Recuérdame-51833,"Una joven estudiante con problemas se enamora de una chica después de un encuentro casual. Ambos llegan aceptan sus tragedias personales que ayudan a sanar entre sí, pero pronto la verdad detrás de su encuentro amenaza con poner fin a su relación.",SAM16,2010,112
57,23724,Movie,Requiem por un sueño,https://www.starz.com/ar/es/movies/Requiem-por-un-sueño-23724,"Cuatro personas luchan contra una drogadicción que llega a niveles insaciables. Pese a sus buenas intenciones, las drogas los vencen y sus vidas salen de control.",SAM16,2000,101
58,51836,Movie,Retornados,https://www.starz.com/ar/es/movies/Retornados-51836,"Un virus zombi ha infectado a la humanidad, pero se puede curar con inyecciones diarias. Así que el caos surge cuando se sabe que quedan pocos suministros de inyecciones.",SAM16,2014,98
59,57174,Movie,La cabaña,https://www.starz.com/ar/es/movies/La-cabaña-57174,"A raíz de una tragedia personal, Mackenzie Allen Phillips recibe una nota misteriosa invitándolo a “La cabaña.” Mack acude y se ve envuelto en la catarsis de redescubrir la verdad sobre el amor, la esperanza, la pérdida y el perdón.",SAM13,2017,132
